fspace_hash,fsspace_hash,nfeatures,features,targets
-993550030,1502620702,9,"{{-14.959841313840421,-1.7739374185600167,-1.460443378791355,-2.4849066497880004,-3.9545826017063983,-13.082003775963914,-2.4849066497880004,-9.210340371976182,-1.4276028485333916}}",{4.543294782270004}
-993550030,-301744084,11,"{{-14.959841313840421,-1.7739374185600167,-1.460443378791355,-2.4849066497880004,-1.018046664056702,-3.9545826017063983,-12.367328027087364,-13.082003775963914,-2.4849066497880004,-9.210340371976182,-1.4276028485333916}}",{4.543294782270004}
-195594584,69631952,2,"{{-3.1221606722057436,-12.77974911711393}}",{0}
1057419857,575917000,1,{{-2.3978952727983707}},{12.52961522465177}
1743226342,1287247843,2,"{{-11.806862931584517,-11.806862931584517}}",{0}
-379958762,946786742,8,"{{-9.727421389904682,-15.242798338910262,-1.3862943611198906,-9.210340371976182,-8.517243192666278,-14.959841313840421,-0.00010000500033334732,-9.597641509456675},{-9.727421389904682,-15.242798338910262,-1.3862943611198906,-9.210340371976182,-8.517243192666278,-10.743195326202532,-0.00010000500033334732,-11.806862931584517}}","{3.4965075614664802,3.4965075614664802}"
1743226342,555114863,2,"{{-13.082003775963914,-0.7175764855574894}}",{1.7917594692220793}
-195594584,-433373687,4,"{{-3.1221606722057436,-9.210340371976182,-0.36049219586979037,-9.597641509456675}}",{8.88875674784872}
-1831240827,137413162,8,"{{-15.242798338910262,-1.460443378791355,-2.4849066497880004,-1.018046664056702,-12.367328027087364,-13.782681534372943,-3.7737113717016606,-2.3978952727983707}}",{12.15195431184257}
-993550030,1869800018,2,"{{-1.460443378791355,-9.210340371976182}}",{8.595819511871428}
-42908418,1869800018,2,"{{-1.460443378791355,-3.4965075614664802}}",{10.819998260213833}
-1831240827,504385927,1,{{-1.018046664056702}},{11.34855776873237}
1743226342,-519937185,9,"{{-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-2.772588722239781,-4.015533393476355,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-8.047189562170502}}",{5.583496308781699}
-802871442,427640792,12,"{{-0.09412907198595906,-11.806862931584517,-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-0.8610071948870133,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.7175764855574894,-4.707678616916818,-11.806862931584517}}",{7.0587581525186645}
1743226342,528186385,11,"{{-11.806862931584517,-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-2.772588722239781,-4.015533393476355,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-8.047189562170502,-11.806862931584517}}",{3.6375861597263857}
1743226342,462748566,2,"{{-1.3862943611198906,-1.3862943611198906}}",{0}
-379958762,-553390435,9,"{{-9.727421389904682,-15.242798338910262,-1.3862943611198906,-9.210340371976182,-0.09650049888764721,-8.517243192666278,-14.959841313840421,-0.00010000500033334732,-9.597641509456675},{-9.727421389904682,-15.242798338910262,-1.3862943611198906,-9.210340371976182,-0.09650049888764721,-8.517243192666278,-10.743195326202532,-0.00010000500033334732,-11.806862931584517}}","{3.4965075614664802,3.4965075614664802}"
1743226342,-1479662695,3,"{{-0.11055918996513683,-1.0124094052603678,-12.367328027087364}}",{0}
